@RELATION test

@ATTRIBUTE ssn NUMERIC
@ATTRIBUTE ts NUMERIC
@ATTRIBUTE ax NUMERIC
@ATTRIBUTE ay NUMERIC
@ATTRIBUTE az NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE class {0, 1, 2, 3}

@DATA
1,564,-0.18029,-0.884773,0.344296,0.966368,0
1,683,-0.208466,-0.776471,0.294507,0.856212,0
1,814,-0.189682,-0.772224,0.337184,0.863714,0
1,933,-0.229597,-0.882649,0.368006,0.98347,0
1,1052,-0.107502,-0.814695,0.360893,0.897512,0
1,1171,0.061553,-0.778594,0.443876,0.898345,0
1,1304,-0.173246,-0.683034,0.424908,0.822859,0
1,1423,-0.123938,-0.872031,0.244717,0.914158,0
1,1542,-0.302385,-0.906008,0.275539,0.994087,0
1,1670,-0.166202,-0.672416,0.560052,0.890744,0
1,1801,-0.227249,-0.670292,0.548197,0.89524,0
1,1920,-0.241337,-0.572608,0.699937,0.935968,0
1,2039,-0.354041,-0.540755,0.607471,0.887007,0
1,2158,-0.342301,-0.502531,0.688083,0.91824,0
1,2291,-0.384564,-0.375117,0.635922,0.832466,0
1,2410,-0.755546,-0.385735,0.133283,0.858723,0
1,2529,-0.894077,-0.404847,-0.072989,0.984176,0
1,2665,-0.919905,-0.572608,-0.172569,1.097217,0
1,2821,-1.013824,-0.534384,-0.42863,1.223573,0
1,2957,-0.889381,-0.576856,-0.888592,1.383242,0
1,3117,-0.419784,-0.254074,-0.642015,0.808056,0
1,3277,-0.166202,-0.196737,-0.969204,1.002839,0
1,3435,-0.123938,-0.553496,-0.796126,0.977515,0
1,3571,-0.152114,-0.12666,-0.758191,0.783604,0
1,3707,-0.041759,-0.054459,-0.867254,0.869965,0
1,3842,-0.027671,-0.022605,-0.824577,0.825351,0
1,3978,0.080337,-0.039594,-0.888592,0.893095,0
1,4098,0.040421,-0.050211,-0.931269,0.933498,0
1,4217,0.002853,-0.071447,-0.945495,0.948195,0
1,4349,0.131992,-0.190367,-0.959721,0.987282,1
1,4477,0.14608,-0.254074,-0.869625,0.917682,1
1,4596,-0.044107,-0.031099,-0.879109,0.880764,1
1,4732,-0.12159,0.070832,-0.779529,0.792128,1
1,4862,-0.116894,0.140909,-0.817464,0.837716,1
1,4982,-0.217858,0.344772,-0.765304,0.86719,1
1,5101,-0.213162,0.493421,-0.509242,0.740425,2
1,5241,-0.166202,1.105008,-0.314825,1.16094,2
1,5373,-0.567707,1.94594,-0.45234,2.076917,2
1,5508,-0.825986,0.631453,-0.45471,1.134789,2
1,5627,-0.638147,2.079725,-0.594596,2.255223,2
1,5763,-0.849466,0.54651,-0.307712,1.055913,3
1,5890,1.674619,0.334154,-1.165992,2.067739,3
1,6036,0.383227,0.688789,-1.31062,1.529385,3
1,6156,-0.039411,1.844009,-0.556661,1.926601,3
1,6275,0.636809,2.049994,-0.665724,2.247486,3
1,6419,1.176846,1.238793,-1.182589,2.078001,3
1,6538,1.045359,-0.160637,-1.395974,1.751377,3
1,6657,0.007549,0.11755,-0.810351,0.818868,1
1,6776,0.136688,-0.043841,-0.7819,0.794968,1
1,6896,-0.323517,0.200369,-0.850657,0.931895,1
1,7015,0.002853,0.382996,-0.684692,0.784536,1
1,7134,0.09912,0.782226,-0.542435,0.957047,2
1,7262,0.075641,1.281264,-0.412034,1.34801,2
1,7460,-1.009129,1.82702,-0.668095,2.191505,2
1,7579,0.538194,1.349218,-0.129892,1.458394,2
1,7719,-0.44796,0.960606,-0.715514,1.278824,2
1,7838,0.538194,0.705778,-0.25081,0.922323,3
1,7985,1.146322,0.648441,-1.170734,1.762143,3
1,8104,0.686117,1.306747,-1.161251,1.87799,3
1,8224,-0.297689,1.474508,0.090606,1.506985,3
1,8343,2.12778,1.962928,-1.215782,3.139851,3
1,8486,1.759146,0.457321,-1.666261,2.465799,3
1,8616,0.263479,-0.03747,-0.817464,0.859694,1
