@RELATION test

@ATTRIBUTE ts NUMERIC
@ATTRIBUTE ax NUMERIC
@ATTRIBUTE ay NUMERIC
@ATTRIBUTE az NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE class {0, 1, 2, 3}

@DATA
0,-0.18029,-0.884773,0.344296,0.966368,0
119,-0.208466,-0.776471,0.294507,0.856212,0
250,-0.189682,-0.772224,0.337184,0.863714,0
369,-0.229597,-0.882649,0.368006,0.98347,0
488,-0.107502,-0.814695,0.360893,0.897512,0
607,0.061553,-0.778594,0.443876,0.898345,0
740,-0.173246,-0.683034,0.424908,0.822859,0
859,-0.123938,-0.872031,0.244717,0.914158,0
978,-0.302385,-0.906008,0.275539,0.994087,0
1106,-0.166202,-0.672416,0.560052,0.890744,0
1237,-0.227249,-0.670292,0.548197,0.89524,0
1356,-0.241337,-0.572608,0.699937,0.935968,0
1475,-0.354041,-0.540755,0.607471,0.887007,0
1594,-0.342301,-0.502531,0.688083,0.91824,0
1727,-0.384564,-0.375117,0.635922,0.832466,0
1846,-0.755546,-0.385735,0.133283,0.858723,0
1965,-0.894077,-0.404847,-0.072989,0.984176,0
2101,-0.919905,-0.572608,-0.172569,1.097217,0
2257,-1.013824,-0.534384,-0.42863,1.223573,0
2393,-0.889381,-0.576856,-0.888592,1.383242,0
2553,-0.419784,-0.254074,-0.642015,0.808056,0
2713,-0.166202,-0.196737,-0.969204,1.002839,0
2871,-0.123938,-0.553496,-0.796126,0.977515,0
3007,-0.152114,-0.12666,-0.758191,0.783604,0
3143,-0.041759,-0.054459,-0.867254,0.869965,0
3278,-0.027671,-0.022605,-0.824577,0.825351,0
3414,0.080337,-0.039594,-0.888592,0.893095,0
3534,0.040421,-0.050211,-0.931269,0.933498,0
3653,0.002853,-0.071447,-0.945495,0.948195,0
3785,0.131992,-0.190367,-0.959721,0.987282,1
3913,0.14608,-0.254074,-0.869625,0.917682,1
4032,-0.044107,-0.031099,-0.879109,0.880764,1
4168,-0.12159,0.070832,-0.779529,0.792128,1
4298,-0.116894,0.140909,-0.817464,0.837716,1
4418,-0.217858,0.344772,-0.765304,0.86719,1
4537,-0.213162,0.493421,-0.509242,0.740425,2
